Country,RD.2019.million,Employees,Net.sales.million,Capex.million,Op.profits.million,Market.cap.million
Argentina,68.698602,3029.0,467.220995,5.289301,-7.940182,674.237683
Australia,245.4690759090909,18862.125,5183.290873181818,411.50653580000005,1274.6791246363637,24094.283340909096
Austria,105.1445,13575.75,4759.558666666666,372.56392307692306,353.8604000000001,2872.0617677999994
Belgium,210.39618192857142,26069.214285714286,8125.123093642859,594.1177308571429,1627.840063846154,16984.932529000005
Brazil,125.2875412,38358.5,18302.348337999996,1432.5944422,3335.8292795999996,9872.2984668
Canada,163.22980506666667,27766.11111111111,5432.104730392857,411.0613616428571,728.0955474333332,12195.1065168
China,221.66027487499989,22724.165085388995,6757.020780728477,462.7937679287051,482.9165835177572,4817.131958632094
Denmark,187.93779643750003,9679.46875,3043.784452419355,149.82785784375002,514.92302159375,9781.590172578948
Finland,357.3701875,20401.8125,6181.008625000001,242.60957142857143,578.02875,8328.358671
France,497.04304474999964,62008.23880597015,16934.633660123087,1250.2717130294118,1634.9304337343756,19738.932160706896
Germany,698.4664802258068,53246.96747967479,14487.569879406505,933.341323529915,911.7570950508472,13329.18711378948
Greece,53.0,8600.0,2003.0,50.0,-195.0,2413.018539
Hungary,147.563864,12906.0,1533.607138,119.316528,117.317198,2828.459423
Iceland,89.2,6303.0,1283.7,19.3,162.6,3289.898911
India,167.80574537931037,33430.846153846156,12268.303172034482,655.9652861481482,1239.9131765172415,14931.645798241381
Ireland,332.48803403571435,43641.17857142857,8483.542627357141,321.2872673214286,811.4558553928574,23066.822967083335
Israel,142.7990633181818,7854.0,2120.9873465,79.1577703181818,116.71601961904761,3144.29109235
Italy,243.96120833333327,25539.304347826088,12022.534000000001,1153.233739130435,1629.5157499999998,12223.981537434782
Japan,371.7406525275081,29244.179738562092,10273.330895822017,721.7533286103893,584.3743795307433,8102.3725422629905
Luxembourg,157.58321142857145,27411.0,13723.059232285714,940.3432950000001,56.69084816666665,10065.4595076
Malta,46.720674,1666.0,1066.165798,18.221063,82.929197,1211.116872
Mexico,124.6217,40640.0,12196.90381,579.490905,1265.80041,5341.195571
Netherlands,535.3165505526317,35391.76315789474,12670.0476922973,603.5821681714287,1029.7839461081082,16120.121483281251
New Zealand,102.93456299999998,3903.0,4415.589856333333,139.92043900000002,75.534879,4847.786594
Norway,112.97047759999998,15104.6,11243.6806882,1412.8427319000002,1613.7774436999998,15676.531256333334
Poland,79.186221,1044.0,122.182604,21.449086,42.236948,5700.057862
Portugal,81.14813400000001,8279.0,5564.737641666667,2348.542,1059.5109613333334,12571.176532
Singapore,95.57806599999999,8406.0,2382.973988,80.73218979999999,132.47590739999998,2068.1544444
Slovenia,152.421,11696.0,1493.409,104.502,272.86,1993.841613
South Korea,558.2801809152543,39630.375,16642.636419016944,1620.4760123448268,954.2371527796608,9422.786104678575
Spain,335.7172142857143,60257.21428571428,18882.78828571429,2150.2852857142857,2388.274785714286,18219.132166785716
Sweden,314.9445759375001,20872.1935483871,5991.149574766667,265.347323125,780.4498528275861,8640.414460043477
Switzerland,513.5397731034483,24522.30909090909,7142.542758586209,336.90453264912304,1146.0341610350874,20914.695477803918
Taiwan,206.10082550000004,38066.52173913043,6452.1424751250015,381.10486633333335,330.0758281136364,5469.442643833336
Turkey,95.70792349999999,29928.8,6990.008274166667,64.80061725,404.6359395,3075.4928223999996
UK,264.5537844380163,22329.55462184874,10614.792231243697,632.4113625565215,1230.6071112750003,17888.694208337507
US,448.65508852258085,14087.514915693904,6906.540254216304,391.17162321093844,836.6963647403094,17246.599193072874
